Site,Type,Industry,Skill,Designation,Cost
BPM,Growth,BPO,Actuarial Valuation,Analyst,143149.1236
NCR,Growth,Big 4,AASG,Assistant Manager,559305.7538
BPM,Growth,BPO,Actuarial Modelling,Assistant Manager,995903.4639
BPM,Growth,BPO,Ad Approvals,Assistant Manager,395676.3748
SDS,Growth,Others-,AML,Assistant Manager,449950.2786
SDS,Backfill,Genpact India-ITES/ BPO/ KPO,Analytical/BI Tools,Assistant manager,238299.9283
HYD,Growth,BPO,Analytics,Assistant Manager,235915.0882
BLR,Backfill,Finance,Analytics,Assistant Manager,282185.8182
NCR,Backfill,BPO,AP,Assistant Manager,25523.81844
JPR,Growth,BPO,AP,Assistant Manager,54319.86701
NCR,Growth,BPO,AP,Assistant Manager,90105.05315
HYD,Growth,BPO,AP,Assistant Manager,195906.182
HYD,Growth,BPO,AP,Assistant Manager,267956.2815
HYD,Backfill,BPO,AP,Assistant Manager,313901.8884
BPM,Backfill,BPO,AP,Assistant Manager,362164.7014
HYD,Growth,HMV,AP,Assistant Manager,32717.43803
NCR,Backfill,ITES,AP,Assistant Manager,45613.51762
NCR,Growth,BPO,AR,Assistant Manager,503621.4344
NCR,Growth,BPO/ITES,AR,Assistant Manager,96722.14899
NCR,Growth,KPO,AR,Assistant Manager,154546.271
HYD,Backfill,ITES,Ariba Production Support,Assistant Manager,417287.1626
SDS,Growth,Others-,Business Objects,Assistant Manager,116428.4491
SDS,Growth,Others-,Business Objects,Assistant Manager,19121.15407
NCR,Growth,BPO,C&R/FR,Assistant Manager,52653.65585
NCR,Growth,BPO/ITES,C&R/FR,Assistant Manager,353756.1846
NCR,Backfill,BPO/ITES,C&R/FR,Assistant Manager,328979.9061
NCR,Growth,CA Firm,C&R/FR,Assistant Manager,354138.3236
NCR,Backfill,CA Firm,C&R/FR,Assistant Manager,176178.6963
NCR,Backfill,Consulting,C&R/FR,Assistant Manager,504907.6217
NCR,Growth,Finance,C&R/FR,Assistant Manager,30375.2923
NCR,Backfill,Finance,C&R/FR,Assistant Manager,81261.18853
NCR,Backfill,ITES,C&R/FR,Assistant Manager,30279.76081
MUM,Backfill,BFSI,CAG,Assistant Manager,884868.3956
HYD,Growth,BPO,Capital Markets,Assistant Manager,152361.326
NCR,Growth,Finance,Cash Clearing,Assistant Manager,1590.064198
NCR,Backfill,BPO,Catalog Management,Assistant Manager,344512.6108
NCR,Growth,Sourcing,Category Management,Assistant Manager,283215.1809
NCR,Growth,Sourcing,Category Management,Assistant Manager,352445.3247
NCR,Growth,Sourcing,Category Management,Assistant Manager,108834.3706
HYD,Backfill,BPO,Collections,Assistant Manager,388970.1934
HYD,Backfill,BPO,Collections,Assistant Manager,43725.70724
BPM,Backfill,BPO,Collections,Assistant Manager,379477.1317
BPM,Growth,BPO,Collections,Assistant Manager,36328.39437
BPM,Growth,BPO,Collections,Assistant Manager,481037.8979
BPM,Growth,BPO,Collections,Assistant Manager,444235.4722
BPM,Growth,BPO,Collections,Assistant Manager,372230.1399
NCR,Growth,BPO/ITES,Collections,Assistant Manager,298648.6532
NCR,Growth,BPO/ITES,Collections,Assistant Manager,526215.265
NCR,Backfill,Consulting,Collections,Assistant Manager,361147.1693
HYD,Backfill,Big 4,Compliance,Assistant Manager,378908.7165
NCR,Backfill,Others,Compliance,Assistant Manager,16423.55294
NCR,Growth,IT,Content Writer,Assistant Manager,493384.8953
NCR,Growth,BPO/ITES,Controllership,Assistant Manager,233818.7397
NCR,Growth,Finance,Controllership,Assistant Manager,481584.4493
NCR,Growth,Pharma,Controllership,Assistant Manager,51264.03314
BPM,Backfill,Telecom,Controllership,Assistant Manager,148140.6637
HYD,Growth,BPO,Credit Card Trainer,Assistant Manager,202325.7129
SDS,Backfill,Deloitte Tax Services India Pvt Ltd-,Credit Review,Assistant Manager,187177.6123
SDS,Growth,Others-,Credit Review,Assistant Manager,369032.9877
SDS,Growth,Others-,Credit Review,Assistant Manager,855414.4783
SDS,Backfill,Fresher-,Credit Risk,Assistant Manager,355287.7556
SDS,Growth,Others-ITES/ BPO/ KPO,Credit Risk,Assistant Manager,472749.4121
HYD,Backfill,BPO,Customer Care,Assistant Manager,259611.3373
HYD,Growth,BPO,Customer Care,Assistant Manager,336053.2706
HYD,Backfill,Hospitality,Customer Care,Assistant Manager,255368.3583
HYD,Growth,Banking,Customer Service,Assistant Manager,205860.8128
HYD,Growth,Banking,Customer Service,Assistant Manager,280024.2469
HYD,Growth,BPO,Customer Service,Assistant Manager,162691.3777
HYD,Growth,BPO,Customer Service,Assistant Manager,2377.743327
NCR,Growth,BPO,Customer Service,Assistant Manager,11770.65026
HYD,Growth,BPO,Customer Service,Assistant Manager,262874.7266
HYD,Backfill,BPO,Customer Service,Assistant Manager,697848.2755
HYD,Growth,BPO,Customer Service,Assistant Manager,171117.565
HYD,Growth,BPO,Customer Service,Assistant Manager,389263.3689
NCR,Growth,BPO,Customer Service,Assistant Manager,354809.7343
NCR,Backfill,BPO,Customer Service,Assistant Manager,140458.6712
NCR,Backfill,BPO,Customer Service,Assistant Manager,192671.7985
NCR,Backfill,BPO,Customer Service,Assistant Manager,82602.70671
NCR,Backfill,Telecom,Customer Service,Assistant Manager,28348.20769
BPM,Backfill,IT/Ites,DA Mainframe and SAS,Assistant Manager,757941.6414
HYD,Growth,Dailer,Dailer,Assistant Manager,159929.744
SDS,Backfill,Others-,Data Management,Assistant manager,478664.8432
BPM,Growth,BPO,Data SME,Assistant Manager,126106.0733
BLR,Growth,BPO,Documentation,Assistant Manager,578341.6286
BPM,Growth,BPO,Documentation,Assistant Manager,706.1272053
BPM,Growth,BPO,E Sourcing,Assistant Manager,372487.7795
HYD,Backfill,Consulting,E Sourcing,Assistant Manager,271738.744
SDS,Backfill,Others-,Equity Research,Assistant Manager,219050.6979
SDS,Growth,Others-,Equity Research,Assistant Manager,488314.8805
BLR,Growth,BPO,EUT-Analytics,Assistant Manager,786662.1173
BLR,Growth,BPO,EUT-Analytics,Assistant Manager,174731.6656
BPM,Growth,BPO,EUT-Analytics,Assistant Manager,366494.9788
BPM,Growth,BPO,EUT-Analytics,Assistant Manager,317288.1157
BLR,Growth,Insurance,EUT-Analytics,Assistant Manager,76090.7326
BLR,Growth,Product,EUT-Analytics,Assistant Manager,285450.8562
HYD,Backfill,BPO/ITES,F&A Training,Assistant Manager,367198.2017
BPM,Growth,BPO,FCU Non IT,Assistant Manager,780670.9276
BPM,Growth,BPO,FCU Non IT,Assistant Manager,279901.005
BPM,Growth,BPO,FGEN,Assistant Manager,171679.0424
SDS,Growth,Cybermate Infotek Ltd.-,Financial Analysis,Assistant manager,310547.617
HYD,Backfill,ICICI Bank Ltd.-,Financial Analysis,Assistant Manager,678311.0108
BPM,Growth,Banking,Financial Reporting,Assistant Manager,364843.2553
HYD,Backfill,BPO,Financial Reporting,Assistant Manager,143096.2355
NCR,Growth,BPO,Financial Reporting,Assistant Manager,68336.95363
NCR,Growth,BPO,Financial Reporting,Assistant Manager,229815.7103
NCR,Growth,BPO/ITES,Financial Reporting,Assistant Manager,77861.40451
NCR,Growth,BPO/ITES,Financial Reporting,Assistant Manager,61520.99794
NCR,Growth,BPO/ITES,Financial Reporting,Assistant Manager,578302.3531
NCR,Growth,CA Firm,Financial Reporting,Assistant Manager,567099.0698
BPM,Growth,Chartered Accountants Firm,Financial Reporting,Assistant Manager,532403.8648
HYD,Growth,Finance,Financial Reporting,Assistant Manager,66822.94782
HYD,Growth,Finance,Financial Reporting,Assistant Manager,419567.8991
HYD,Growth,Finance,Financial Reporting,Assistant Manager,495138.9493
NCR,Growth,Finance,Financial Reporting,Assistant Manager,35607.75322
NCR,Growth,Finance,Financial Reporting,Assistant Manager,650123.1755
NCR,Growth,Hospitality,Financial Reporting,Assistant Manager,53630.07916
NCR,Growth,Others,Financial Reporting,Assistant Manager,356800.9427
HYD,Growth,Others,Financial Reporting,Assistant Manager,6384.174247
BPM,Backfill,Others,Financial Reporting,Assistant Manager,44622.81883
NCR,Growth,Real estate,Financial Reporting,Assistant Manager,89610.29926
SDS,Backfill,Others-,"Financial Spreading,Financial Analysis",Assistant Manager,193433.7428
NCR,Growth,Automobile,fp&A,Assistant Manager,59566.32144
NCR,Growth,Banking,FP&A,Assistant Manager,193054.6573
BLR,Growth,Banking,FP&A,Assistant Manager,307231.067
BLR,Growth,BFSI,FP&A,Assistant Manager,284879.7207
JPR,Growth,BPO,FP&A,Assistant Manager,559777.7191
NCR,Growth,BPO,FP&A,Assistant Manager,477457.3479
NCR,Growth,BPO,FP&A,Assistant Manager,353176.6194
BLR,Growth,BPO,FP&A,Assistant Manager,216753.4302
BLR,Growth,BPO,FP&A,Assistant Manager,57887.336
NCR,Growth,BPO,FP&A,Assistant Manager,712823.5414
BLR,Growth,BPO,FP&A,Assistant Manager,362646.6077
BLR,Growth,BPO,FP&A,Assistant Manager,436008.0505
BLR,Backfill,BPO,FP&A,Assistant Manager,586557.2128
NCR,Backfill,BPO,FP&A,Assistant Manager,324334.5455
HYD,Growth,BPO,FP&A,Assistant Manager,327607.4324
BLR,Growth,BPO,FP&A,Assistant Manager,58517.21022
BLR,Growth,BPO,FP&A,Assistant Manager,868621.3568
BLR,Growth,BPO,FP&A,Assistant Manager,43953.86052
BLR,Growth,BPO,FP&A,Assistant Manager,24771.61159
NCR,Backfill,BPO,FP&A,Assistant Manager,308134.9222
BPM,Backfill,BPO,FP&A,Assistant Manager,480358.4542
BPM,Backfill,BPO,FP&A,Assistant Manager,129624.4204
NCR,Backfill,BPO/ITES,FP&A,Assistant Manager,175218.4141
NCR,Growth,BPO/ITO,FP&A,Assistant Manager,103923.4838
HYD,Growth,Finance,FP&A,Assistant Manager,634363.3482
HYD,Growth,Finance,FP&A,Assistant Manager,480159.584
BLR,Growth,Finance,FP&A,Assistant Manager,353555.9814
BLR,Growth,Finance,FP&A,Assistant Manager,581113.3642
BLR,Growth,Finance,FP&A,Assistant Manager,317637.1824
BLR,Growth,Finance,FP&A,Assistant Manager,598110.0988
BPM,Growth,Finance,FP&A,Assistant Manager,149872.2513
BPM,Backfill,Hospitality,FP&A,Assistant Manager,145368.7258
NCR,Growth,Insurance,FP&A,Assistant Manager,562176.9327
BPM,Growth,ITES,FP&A,Assistant Manager,171004.8791
BLR,Growth,Manufacturing,FP&A,Assistant Manager,29179.04517
NCR,Growth,NGO,FP&A,Assistant Manager,681257.0265
BLR,Growth,Non BPO,FP&A,Assistant Manager,519854.4435
JPR,Backfill,Telecom,FP&A,Assistant Manager,341602.7139
NCR,Growth,Finance,FP&A & Tax,Assistant Manager,29007.76301
BPM,Growth,CA Firm,FR,Assistant Manager,408123.8689
SDS,Backfill,Genpact-,French,Assistant Manager,482748.5419
SDS,Backfill,iGate Global Solutions Limited-,French,Assistant Manager,210491.7533
BPM,Backfill,ITES/ BPO/ KPO,Fund Accounting,Assistant Manager,379475.8199
HYD,Growth,BFSI,Fund Administration,Assistant Manager,122463.5488
JPR,Backfill,BPO,GA,Assistant Manager,393606.0792
BLR,Growth,BPO,GA,Assistant Manager,547852.2083
BLR,Growth,BPO,GA,Assistant Manager,506459.93
BLR,Growth,BPO,GA,Assistant Manager,681358.9797
BLR,Growth,BPO,GA,Assistant Manager,74323.09017
NCR,Backfill,CA Firm,GA,Assistant Manager,353032.0852
JPR,Growth,CA Firm,GA,Assistant Manager,255242.7768
NCR,Backfill,Consultant (Freelancer),GA,Assistant Manager,477259.8657
BLR,Growth,Insurance,GA,Assistant Manager,533884.7804
NCR,Backfill,ITES,GA,Assistant Manager,503242.16
BPM,Growth,MAERSK Global Service Centers,GA,Assistant Manager,112230.075
JPR,Growth,Textile Company,GA,Assistant Manager,89869.80617
BPM,Growth,BPO,General Accounting - L&R,Assistant Manager,358611.6529
BPM,Growth,BPO,General Accounting - L&R,Assistant Manager,614139.096
SDS,Growth,Others-,German,Assistant Manager,336383.9137
SDS,Growth,Others-,German,Assistant Manager,195952.4051
KOL,Growth,BPO,GL,Assistant Manager,327374.5092
KOL,Backfill,BPO,GL,Assistant Manager,35815.84746
KOL,Growth,BPO,GL,Assistant Manager,95631.82905
KOL,Backfill,BPO,GL,Assistant Manager,48668.51901
KOL,Growth,BPO,GL,Assistant Manager,372109.7708
NCR,Backfill,BPO,GL,Assistant Manager,448292.4151
BPM,Growth,BPO,GL,Assistant Manager,262410.9102
NCR,Growth,CA Firm,GL,Assistant Manager,154870.8363
KOL,Growth,CA Firm,GL,Assistant Manager,22251.9799
NCR,Backfill,CA Firm,GL,Assistant Manager,90426.00647
NCR,Backfill,Manufacturing,GL,Assistant Manager,511352.6005
KOL,Growth,Manufacturing,GL,Assistant Manager,387706.8451
KOL,Growth,Manufacturing,GL,Assistant Manager,100400.2396
NCR,Growth,BPO,Government Reporting,Assistant Manager,287813.1458
BLR,Growth,BPO,Government Reporting,Assistant Manager,74364.76087
BLR,Growth,BPO,Government Reporting,Assistant Manager,481569.4822
BLR,Growth,BPO,Government Reporting,Assistant Manager,46998.22715
BPM,Backfill,BPO,Group Reporting,Assistant Manager,231963.7853
BPM,Backfill,IT,HR Business Partner,Assistant Manager,509110.625
NCR,Growth,BPO,Inbound-Outbound Customer service,Assistant Manager,124643.4083
SDS,Growth,Copal Partners-,Instrutional Designer,Assistant Manager,288151.7903
SDS,Growth,Others-,Instrutional Designer,Assistant Manager,41954.70557
NCR,Growth,Analytics,Insurance,Assistant Manager,466601.7529
BPM,Growth,BPO,Insurance Transcription,Assistant Manager,669719.4624
NCR,Growth,Banking,Inter Company,Assistant Manager,574528.6466
NCR,Growth,BPO,Inter Company,Assistant Manager,508252.1032
BLR,Growth,Banking,Intercompany,Assistant Manager,382564.3277
NCR,Growth,BFSI,Intercompany,Assistant Manager,286580.8813
NCR,Growth,BPO,Intercompany,Assistant Manager,112830.9874
NCR,Growth,BPO,Intercompany,Assistant Manager,147907.8104
NCR,Growth,BPO,Intercompany,Assistant Manager,18720.65776
BPM,Backfill,BPO,Intercompany,Assistant Manager,164095.8456
NCR,Growth,BPO/ITES,Intercompany,Assistant Manager,577724.3689
NCR,Growth,ITES,Intercompany,Assistant Manager,103060.0011
NCR,Growth,ITES,Intercompany,Assistant Manager,446461.7679
NCR,Backfill,Consulting,Internal Audit,Assistant Manager,312003.9852
NCR,Backfill,FMCG,Internal Audit,Assistant Manager,539697.3476
HYD,Backfill,Manufacturing,Internal Audit,Assistant Manager,53062.72522
NCR,Growth,Media,Internal Audit,Assistant Manager,844220.4457
MUM,Growth,Accounting,Internal Audit - Hotel,Assistant Manager,1239409.597
BPM,Growth,BPO,Investment & Motor Insurance,Assistant Manager,290414.1776
SDS,Backfill,CRISIL Limited-,Investment Research,Assistant Manager,824816.3349
SDS,Backfill,Others-,Investment Research,Assistant Manager,578892.7724
SDS,Growth,Others-,Investment Research,Assistant Manager,24062.76208
SDS,Backfill,Others-,Investment Research,Assistant Manager,405686.0172
SDS,Growth,Others-,Investment Research,Assistant Manager,642549.4579
NCR,Growth,BPO,IT,Assistant Manager,132495.7324
JPR,Growth,B2P,IT B2P,Assistant Manager,272526.3231
NCR,Backfill,KPO,IT Support,Assistant Manager,214635.7538
JPR,Growth,BPO,IT Testing,Assistant Manager,379828.4505
MUM,Backfill,Consulting,ITGC,Assistant Manager,1154956.196
NCR,Growth,KPO,Junior Visualisor,Assistant Manager,20007.01483
SDS,Backfill,ANZ Bank-,KYC,Assistant Manager,756253.897
BLR,Growth,BPO,KYC,Assistant Manager,486818.5193
BLR,Growth,BFSI,KYC/AML,Assistant Manager,3039.320135
BLR,Growth,BFSI,KYC/AML,Assistant Manager,179410.6237
BPM,Growth,Healthcare,Language Specialist,Assistant Manager,817887.5754
NCR,Growth,Management Consulting,Legal Research,Assistant Manager,193113.5519
NCR,Growth,Legal,Legal/Compliance,Assistant Manager,38965.86174
NCR,Backfill,IT,Logistics Transport,Assistant Manager,163694.5663
MUM,Growth,IT/Ites,Mainframe,Assistant Manager,228024.4367
NCR,Growth,IT,Mainframes,Assistant Manager,373300.659
NCR,Growth,MDM,MDM and EPT,Assistant Manager,449324.074
NCR,Backfill,BPO,MDM Team Lead,Assistant Manager,188015.9277
NCR,Growth,ITES,Medical Summarization,Assistant Manager,153377.0702
NCR,Backfill,MIS,MIS Reporting,Assistant Manager,65840.6771
BLR,Growth,BANK OF AMERICA BA CONTINUM SOLUTIONS-,MIS/Reporting,Assistant Manager,400336.2582
BLR,Growth,-BFS (Banking & Financial Services),MIS/Reporting,Assistant Manager,473014.6653
BLR,Growth,Magna Infotech-,MIS/Reporting,Assistant Manager,668831.0604
BPM,Growth,BPO,Model Validation,Assistant Manager,1016175.552
SDS,Backfill,Others-,Model Validation,Assistant Manager,137544.3751
SDS,Growth,Others-,Model Validation,Assistant Manager,434220.2376
SDS,Growth,Accenture-,Modeling & Mining,Assistant manager,9210394.527
HYD,Backfill,TATA consultancty services-,Modeling & Mining,Assistant Manager,521425.9804
BLR,Growth,"TCS, Bangalore-",Modeling & Mining,Assistant Manager,150347.6738
SDS,Growth,Others-,Modelling,Assistant Manager,2598147.972
NCR,Backfill,Hospitality,Mortgage Accounting,Assistant Manager,189444.7833
NCR,Growth,Mortgage,Mortgage Accounting,Assistant Manager,380141.6699
SDS,Growth,citigroup-,"MS Visio,Powerpoint",Assistant Manager,571615.9557
HYD,Growth,Sourcing,NAM Buyer,Assistant Manager,122347.4761
HYD,Growth,Online and Ads,Online Ads,Assistant Manager,152106.06
HYD,Growth,BPO,Operations,Assistant Manager,238266.0628
NCR,Growth,ITES,Operations,Assistant Manager,5704.238963
BPM,Growth,Finance,Oracle Financial Analyst,Assistant Manager,489873.2873
NCR,Growth,BFSI,ORM,Assistant Manager,906954.2987
NCR,Growth,BPO,OTC,Assistant Manager,532808.4478
NCR,Growth,BPO,OTC,Assistant Manager,137405.709
NCR,Growth,BPO/ITES,OTC,Assistant Manager,486087.4282
NCR,Backfill,BPO/ITES,OTC,Assistant Manager,77037.76905
HYD,Growth,Finance,OTC,Assistant Manager,260958.3961
NCR,Growth,ITES,OTC,Assistant Manager,246649.5049
NCR,Growth,ITES,OTC,Assistant Manager,9546.800074
NCR,Growth,ITES,OTC,Assistant Manager,475233.5239
BPM,Growth,ITES,OTC,Assistant Manager,539636.266
BLR,Backfill,HEWLETT PACKARD-,Other,Assistant Manager,518829.3274
NCR,Backfill,Others-,Other,Assistant Manager,403602.1572
HYD,Backfill,UST GLOBAL-,Other,Assistant Manager,479126.9401
HYD,Growth,Insurance,P&C Insurance,Assistant Manager,585736.9397
HYD,Growth,Insurance,P&C Insurance,Assistant Manager,189459.1118
BPM,Growth,Insurance,P&C Insurance,Assistant Manager,403131.3985
NCR,Growth,P&C,P&C Insurance,Assistant Manager,195065.8017
KOL,Growth,CA Firm,P2P BUYER ,Assistant Manager,136685.6781
NCR,Growth,KPO,P2P BUYER ,Assistant Manager,396979.163
BLR,Growth,BPO,Parent Company Accounting ,Assistant Manager,102773.1523
BLR,Growth,BPO,Parent Company Accounting ,Assistant Manager,378704.3448
BLR,Growth,BPO,PC FP&A,Assistant Manager,528527.7614
BLR,Growth,BPO,PC FP&A,Assistant Manager,78525.32367
BLR,Growth,BPO,PC FP&A,Assistant Manager,649907.8217
BLR,Growth,BPO,PC FP&A,Assistant Manager,246210.2634
BLR,Growth,BPO,PC FP&A,Assistant Manager,964944.0373
BLR,Growth,BPO,PC FP&A,Assistant Manager,492749.5338
BLR,Growth,BPO,PC FP&A,Assistant Manager,930296.6937
BLR,Growth,Finance,PC FP&A,Assistant Manager,54973.77493
NCR,Growth,ITES,Policy Processing,Assistant Manager,279721.5835
SDS,Backfill,Amazon Development Centre (India)Pvt Ltd-,Powerpoint,Assistant Manager,357592.5238
SDS,Growth,Others-,Predective Modeling,Assistant Manager,764994.9022
BLR,Growth,Finance,Predictive Modelling,Assistant Manager,703038.2919
SDS,Growth,Nielsen-,Primary Research,Assistant Manager,243969.441
HYD,Growth,BPO,Process Trainer,Assistant Manager,428986.9732
JPR,Growth,ITES,Procurement,Assistant Manager,215485.8447
BPM,Growth,BPO,Procurement program,Assistant Manager,655274.2925
SDS,Backfill,Others-,Programmer,Assistant manager,110005.9986
SDS,Backfill,Others-,Project management,Assistant Manager,330035.113
NCR,Growth,ANUFACTURING,R2R,Assistant Manager,119240.3344
NCR,Growth,Banking,R2R,Assistant Manager,126378.4519
JPR,Backfill,BPO,R2R,Assistant Manager,81797.29437
JPR,Growth,BPO,R2R,Assistant Manager,499657.4304
NCR,Growth,BPO,R2R,Assistant Manager,266557.5474
HYD,Growth,BPO,R2R,Assistant Manager,98990.65937
NCR,Growth,BPO,R2R,Assistant Manager,518890.4028
HYD,Backfill,BPO,R2R,Assistant Manager,543021.6644
NCR,Growth,BPO,R2R,Assistant Manager,615818.1071
NCR,Growth,BPO,R2R,Assistant Manager,365571.2036
HYD,Backfill,BPO,R2R,Assistant Manager,449970.8069
BPM,Growth,BPO,R2R,Assistant Manager,200483.5618
NCR,Growth,BPO/ITES,R2R,Assistant Manager,197308.1609
NCR,Growth,BPO/ITES,R2R,Assistant Manager,411146.2404
NCR,Growth,CA Firm,R2R,Assistant Manager,470183.1139
HYD,Growth,CA firm,R2R,Assistant Manager,375725.5669
HYD,Growth,CA firm,R2R,Assistant Manager,40839.23907
BLR,Growth,CA Firm,R2R,Assistant Manager,153828.1953
HYD,Growth,CA firm,R2R,Assistant Manager,144738.6903
NCR,Growth,CA Firm,R2R,Assistant Manager,28502.35328
HYD,Backfill,CA Firm,R2R,Assistant Manager,242186.0858
BPM,Growth,CA Firm,R2R,Assistant Manager,34366.94447
NCR,Backfill,Finance,R2R,Assistant Manager,327047.1463
NCR,Growth,Finance,R2R,Assistant Manager,574919.3821
JPR,Growth,Finance,R2R,Assistant Manager,88542.54929
HYD,Backfill,Financial services,R2R,Assistant Manager,497957.6379
NCR,Growth,ITES,R2R,Assistant Manager,307604.4798
BPM,Growth,ITES/BPO,R2R,Assistant Manager,53020.45286
NCR,Growth,Manufacturing,R2R,Assistant Manager,147085.0633
NCR,Backfill,Media,R2R,Assistant Manager,329737.5543
HYD,Growth,NBFC,R2R,Assistant Manager,425611.5386
JPR,Growth,Non BPO,R2R,Assistant Manager,421201.6365
NCR,Growth,Publication,R2R,Assistant Manager,214615.7848
HYD,Growth,Stock Broking,R2R,Assistant Manager,310676.7183
NCR,Growth,BPO,Re Insurance/ Re Ins Acc,Assistant Manager,83312.24047
BLR,Growth,BPO,Reconciliation Management,Assistant Manager,302071.5115
BLR,Growth,BPO,Reconciliation Management,Assistant Manager,271062.7893
BLR,Growth,BPO,Reconciliation Management,Assistant Manager,352407.158
BPM,Growth,BPO,Reconciliation Management,Assistant Manager,393998.4267
BPM,Growth,BPO,Reconciliation Management,Assistant Manager,152421.1906
BPM,Growth,BPO,Reconciliation Management,Assistant Manager,444319.2504
NCR,Growth,Finance,Reconciliation Management,Assistant Manager,224818.4386
BLR,Growth,Insurance,Reconciliation Management,Assistant Manager,307056.3957
BLR,Growth,Insurance,Reconciliation Management,Assistant Manager,512252.0557
NCR,Growth,BPO,Reconciliations,Assistant Manager,352399.1416
BLR,Growth,BPO,Reconciliations,Assistant Manager,438726.7305
BLR,Growth,BPO,Reconciliations,Assistant Manager,364654.778
NCR,Backfill,BPO,Reconciliations,Assistant Manager,326018.5676
NCR,Growth,Finance,Reconciliations,Assistant Manager,360295.2721
HYD,Backfill,IT,Recruitment,Assistant Manager,225402.8409
ITO,Backfill,IT,Recruitment,Assistant Manager,182100.5966
NCR,Backfill,Recruitment Outsourcing,Recruitment,Assistant Manager,158692.5618
HYD,Backfill,BPO,Reengineering,Assistant Manager,530639.4634
HYD,Growth,BPO,Reference Data,Assistant Manager,428999.201
NCR,Growth,BPO,Regulatory Reporting,Assistant Manager,529936.1685
NCR,Growth,BPO,Regulatory Reporting,Assistant Manager,68964.9036
BLR,Growth,BPO,Regulatory Reporting,Assistant Manager,143543.9471
NCR,Growth,BPO,Regulatory Reporting,Assistant Manager,623529.9508
BLR,Growth,BPO,Regulatory Reporting,Assistant Manager,35055.2488
BPM,Growth,BPO,Regulatory Reporting,Assistant Manager,175660.6367
NCR,Growth,BPO/ITES,Regulatory Reporting,Assistant Manager,516720.092
NCR,Growth,CA Firm,Regulatory Reporting,Assistant Manager,34224.45215
JPR,Backfill,Consulting,Regulatory Reporting,Assistant Manager,252811.5329
NCR,Backfill,Consulting,Regulatory Reporting,Assistant Manager,327062.1432
JPR,Backfill,Consulting/ Analytics,Regulatory Reporting,Assistant Manager,331572.354
NCR,Growth,Finance,Regulatory Reporting,Assistant Manager,317731.0096
NCR,Growth,Financial Consultancy,Regulatory Reporting,Assistant Manager,270587.0163
NCR,Growth,ITES,Regulatory Reporting,Assistant Manager,578001.9576
NCR,Growth,BPO,Reinsurance Accounting,Assistant Manager,501077.1878
NCR,Growth,BPO,Reinsurance Accounting,Assistant Manager,95575.86941
NCR,Backfill,BPO,Reinsurance Accounting,Assistant Manager,172445.0914
BPM,Growth,BPO,Reinsurance Accounting,Assistant Manager,294464.488
NCR,Growth,CA Firm,Reinsurance Accounting,Assistant Manager,319556.257
NCR,Backfill,Insurance,Reinsurance Accounting,Assistant Manager,85233.28694
NCR,Growth,BPO,Re-Insurance Accounting,Assistant Manager,649901.1306
SDS,Growth,Pipal Research Analystics Pvt Ltd-,Reporting,Assistant manager,680299.0425
HYD,Growth,BPO,REQ TO PO,Assistant Manager,388452.8673
BLR,Backfill,SCM,REQ TO PO,Assistant Manager,366193.3639
SDS,Growth,TCS-,"Risk modelling,Statistical Modeling",Assistant Manager,674833.404
HYD,Growth,BPO,S2P,Assistant Manager,152297.8704
BLR,Growth,Manufacturing,SCM,Assistant Manager,529456.4773
BLR,Growth,SCM,SCM,Assistant Manager,474354.7915
SDS,Growth,Tech Mahindra Ltd-,SCM/Procurement & Logistics  Analytics,Assistant manager,459499.6356
BLR,Growth,BPO,SEC reporting ,Assistant Manager,344565.0579
BLR,Growth,BPO,SEC reporting ,Assistant Manager,575555.1856
BLR,Growth,BPO,SEC reporting ,Assistant Manager,535425.8008
BLR,Growth,BPO,SEC reporting ,Assistant Manager,268660.7956
NCR,Growth,BPO,SEC reporting ,Assistant Manager,71642.72874
NCR,Backfill,Financial Services,SEC reporting ,Assistant Manager,157193.1447
NCR,Growth,ITES,SEC reporting ,Assistant Manager,157944.8537
BPM,Growth,Event Management,Sourcing,Assistant Manager,121164.2867
HYD,Backfill,IT,Sourcing,Assistant Manager,408161.19
HYD,Growth,Sourcing,Sourcing,Assistant Manager,193909.2963
HYD,Growth,SCM,Sourcing & Contract Compliance,Assistant Manager,376698.8215
BPM,Backfill,ITES,Sourcing Buyer,Assistant Manager,548744.9724
HYD,Growth,Sourcing,Sourcing Buyer,Assistant Manager,206708.2433
HYD,Backfill,Manufacturing,Spend Analytics,Assistant Manager,493146.9947
HYD,Growth,Procurement,Spend Analytics,Assistant Manager,289239.9901
HYD,Growth,Sourcing,Spend Analytics,Assistant Manager,66807.92982
SDS,Backfill,IBM-,"Spotfire,R,",Assistant Manager,378427.6054
HYD,Backfill,IT,SQA,Assistant Manager,11742.53091
ITO,Growth,IT,SQA,Assistant Manager,361638.0099
SDS,Backfill,CAPGEMINI INDIA PVT. LTD.-,SQL,Assistant Manager,26830.34225
SDS,Growth,deloitte support services-,Statistical Analytics,Assistant Manager,973139.052
HYD,Growth,BPO,Strategic Sourcing,Assistant Manager,484036.5795
NCR,Backfill,Advertising,Supplemental Reporting,Assistant Manager,390493.5074
SDS,Growth,Others-,Support,Assistant Manager,501618.3193
NCR,Growth,Consulting,Tactical Buyer,Assistant Manager,395990.7724
BPM,Growth,CA Firm,Tax,Assistant Manager,461037.5268
NCR,Backfill,BPO,Taxation,Assistant Manager,215619.8193
